"Entitatea","2009","2008","2007","2006","2005"
"Araba/Álava","147.86",NA,NA,NA,NA
"Bizkaia","91.03",NA,NA,NA,NA
"CAE","127.30",NA,NA,NA,NA
"Gipuzkoa","177.24",NA,NA,NA,NA
