"Entitatea","2015","2011","2006","2001","1996"
"Araba/Álava","7.19","9.63","17.09","23.45","28.57"
"Bizkaia","7.93","10.86","18.33","23.82","26.66"
"CAE","7.90","10.63","18.12","23.82","27.42"
"Gipuzkoa","8.06","10.61","18.13","23.85","28.13"
