"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"Araba/Álava","216.81","216.33","208.30","205.56","200.03","198.07","182.26","164.73","107.88","92.39","73.24"
"Bizkaia","77.29","77.16","74.45","71.36","68.53","64.65","59.16","46.24","35.99","25.51","23.57"
"CAE","98.57","98.09","93.32","89.79","86.45","83.52","77.14","64.28","48.56","37.22","34.18"
"Gipuzkoa","79.29","78.24","71.97","67.55","64.16","62.72","59.28","49.08","42.93","32.20","34.61"
