"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"Araba/Álava","11.68","12.57","13.34","13.00","12.76","10.82","9.70","8.90","7.29","5.96","6.08","6.16","5.34"
"Bizkaia","11.23","11.99","12.77","12.58","12.31","10.78","9.99","8.93","7.24","6.02","6.23","6.81","5.82"
"CAE","10.63","11.47","12.22","12.06","11.90","10.36","9.56","8.74","7.16","6.00","6.20","6.55","5.55"
"Gipuzkoa","9.16","10.10","10.81","10.79","10.82","9.46","8.77","8.33","6.96","5.97","6.20","6.30","5.18"
