"Entitatea","2012","2010","2008","2005","2000"
"Araba/Álava","31.30","30.70","34.54","37.30","38.40"
"Bizkaia","19.10","20.20","22.98","23.70","25.40"
"CAE","24.20","24.80","27.86","28.90","30.60"
"Gipuzkoa","28.60","28.90","32.03","32.70","34.60"
