"Entitatea","2009","2008","2007","2006","2005"
"Araba/Álava","10.90","10.63","10.56","8.68","8.74"
"Bizkaia","13.27","12.22","13.09","11.84","11.45"
"CAE","14.41","13.31","14.07","11.56","11.35"
"Gipuzkoa","20.12","18.05","19.80","14.58","14.31"
