"Entitatea","2015","2014","2013","2012","2011","2010","2009"
"Araba/Álava","59.61","58.18","57.90","59.75","62.95","64.39","65.12"
"Bizkaia","50.06","49.03","48.40","49.56","52.29","53.50","54.14"
"CAE","52.99","51.88","51.41","52.55","55.36","56.49","57.23"
"Gipuzkoa","54.66","53.58","53.32","54.12","56.85","57.72","58.66"
