"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","12.63","11.84","10.21","8.37","6.14","6.49","21.51","14.94","0.00","0.00","0.00","0.00","0.00"
"Bizkaia","16.46","15.59","10.02","11.97","9.93","12.14","16.10","13.63","0.00","0.00","0.00","0.00","0.00"
"CAE","13.62","13.18","9.71","9.85","8.32","10.02","15.05","12.25","0.00","0.00","0.00","0.00","0.00"
"Gipuzkoa","9.52","9.91","8.98","7.09","6.68","8.14","10.45","8.79","0.00","0.00","0.00","0.00","0.00"
