"Entitatea","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","0.42","0.38","0.38","0.37","0.29","0.28","0.28","0.28","0.27"
"Bizkaia","0.82","0.79","0.82","0.83","0.84","0.92","0.84","0.81","0.69"
"CAE","0.89","0.85","0.84","0.81","0.79","0.00","0.76","0.00","0.63"
"Gipuzkoa","1.22","1.17","1.09","0.99","0.93","0.86","0.83","0.76","0.69"
