"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"Araba/Álava","2919.74","2878.94","3016.64","3041.30","3112.93","3161.31","3203.68","3244.37","0.00","0.00","0.00","0.00","0.00","2744.62"
"Bizkaia","2895.08","2833.77","2927.93","2959.62","2960.76","2972.75","3046.11","2998.83","0.00","0.00","0.00","0.00","0.00","2515.95"
"CAE","2881.20","2817.15","2928.91","2953.53","2968.87","3001.62","3066.04","3020.85","0.00","0.00","0.00","0.00","0.00","2547.85"
"Gipuzkoa","2841.92","2762.85","2890.99","2904.00","2917.04","2976.93","3037.09","2957.78","0.00","0.00","0.00","0.00","0.00","2516.39"
