"Entitatea","2015","2011","2006","2001","1996"
"Araba/Álava","51.20","50.36","54.29","51.68","42.41"
"Bizkaia","47.27","46.71","50.12","44.85","35.81"
"CAE","48.69","48.07","51.50","47.39","38.01"
"Gipuzkoa","49.89","49.27","52.57","49.86","39.91"
