"Entitatea","2015","2011","2010","2006","2001","1996"
"Araba/Álava","4.62","6.74","7.79","8.60","7.61","5.96"
"Bizkaia","5.99","7.95","9.08","10.07","9.28","6.70"
"CAE","5.59","7.44","8.47","9.30","8.67","6.46"
"Gipuzkoa","5.42","6.98","7.81","8.40","8.20","6.33"
