"Entitatea","2015","2014","2013","2012","2011","2010","2009"
"Araba/Álava","50.41","49.58","49.39","50.88","53.52","54.63","55.37"
"Bizkaia","48.16","47.28","46.76","47.84","50.52","51.65","52.16"
"CAE","49.55","48.60","48.22","49.28","51.97","52.99","53.65"
"Gipuzkoa","51.38","50.26","50.05","50.89","53.61","54.42","55.31"
