"Entitatea","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","8.36","9.49","9.98","10.46","10.71","11.15","10.88","10.48","9.90","9.67","9.83"
"Bizkaia","7.02","8.09","8.51","8.76","8.95","9.19","8.91","8.43","8.12","8.04","8.00"
"CAE","7.36","8.20","8.61","8.87","9.03","9.23","8.99","8.56","8.26","8.17","8.16"
"Gipuzkoa","7.47","7.82","8.14","8.33","8.40","8.46","8.29","7.94","7.78","7.72","7.71"
