"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"Araba/Álava","24.05","23.15","22.46","19.25","15.72","15.16","15.59","14.08","10.34","10.37","13.72"
"Bizkaia","24.21","24.17","24.35","21.48","18.26","17.54","17.01","14.35","11.51","11.37","15.77"
"CAE","25.07","24.45","24.07","21.26","18.01","17.22","16.60","14.84","11.53","11.11","15.65"
"Gipuzkoa","26.94","25.53","24.41","21.89","18.77","17.78","16.46","16.09","12.26","11.07","16.57"
