"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007"
"Araba/Álava","3.38","3.10","2.07","8.77","13.71","14.37","7.94","7.68","7.67"
"Bizkaia","2.10","2.24","3.68","3.45","3.47","3.17","2.19","2.99","2.44"
"CAE","2.33","2.39","3.34","3.76","4.83","4.71","3.23","3.52","3.45"
"Gipuzkoa","2.40","2.42","3.24","2.34","3.22","2.62","2.34","1.99","2.34"
