"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Araba/Álava","10.56","10.89","11.16","11.69","12.88","15.35","16.21","17.62","16.29","15.93","15.18","14.28","13.89","13.73","13.57","13.13","12.53"
"Bizkaia","11.71","11.81","11.91","12.35","13.08","14.06","14.80","15.74","14.64","13.89","13.46","12.71","12.58","12.23","11.85","11.45","10.60"
"CAE","11.74","11.88","12.11","12.63","13.47","14.69","15.52","16.67","15.46","14.96","14.51","13.84","13.68","13.41","13.09","12.70","11.80"
"Gipuzkoa","12.28","12.39","12.79","13.43","14.28","15.39","16.33","17.67","16.34","16.14","15.79","15.32","15.16","14.97","14.69","14.32","13.28"
