"Entitatea","2015","2011","2010","2006","2001"
"Araba/Álava","47.76","46.15","44.65","43.75","40.73"
"Bizkaia","45.16","43.32","41.35","40.28","35.90"
"CAE","45.62","43.87","42.23","41.12","37.40"
"Gipuzkoa","45.40","43.75","42.62","41.36","38.52"
