"Entitatea","2009","2008","2007","2006","2005"
"Araba/Álava","15.33",NA,NA,"0.00","0.00"
"Bizkaia","13.98",NA,NA,"0.00","0.00"
"CAE","13.40",NA,NA,"0.00","0.00"
"Gipuzkoa","11.58",NA,NA,"0.00","0.00"
