"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"Araba/Álava","3.89","3.93","3.92","3.90","3.83","3.73","3.64","3.38","3.24","2.96","2.70","1.53"
"Bizkaia","3.83","3.75","3.74","3.71","3.66","3.49","3.45","3.37","3.36","3.24","2.63","2.24"
"CAE","4.14","4.06","4.09","4.09","4.01","3.90","3.83","3.74","3.61","3.43","3.01","2.25"
"Gipuzkoa","4.71","4.59","4.69","4.73","4.60","4.57","4.45","4.42","4.14","3.91","3.68","2.54"
