"Entitatea","2015","2011","2007","2003"
"Araba/Álava","65.70","63.69","0.00","0.00"
"Bizkaia","62.69","64.12","0.00","0.00"
"CAE","63.84","63.61","0.00","0.00"
"Gipuzkoa","64.89","62.73","0.00","0.00"
