"Entitatea","2009","2008","2007","2006","2005"
"Araba/Álava","0.30",NA,NA,"0.00","0.00"
"Bizkaia","0.23",NA,NA,"0.00","0.00"
"CAE","0.29",NA,NA,"0.00","0.00"
"Gipuzkoa","0.39",NA,NA,"0.00","0.00"
