"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","91.84","90.79","90.20","90.69","90.28","89.88","87.56","87.04","85.72","84.90","85.18","86.36","85.57","82.27"
"Bizkaia","91.91","91.91","91.62","91.45","91.53","91.17","90.58","90.24","89.86","89.45","88.72","87.94","86.70","83.50"
"CAE","89.85","89.32","88.83","88.61","88.54","88.02","86.97","86.31","85.48","84.65","84.22","83.74","82.06","78.77"
"Gipuzkoa","85.92","84.89","83.94","82.84","82.49","81.66","80.73","79.49","78.17","76.22","75.88","74.82","72.40","68.71"
