"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","1.49","3.92","5.57","7.13","7.25","9.40","8.73","9.97","11.95","14.75","13.20","11.73","9.47"
"Bizkaia","1.75","1.96","2.30","2.20","1.94","1.92","1.71","2.38","3.06","3.54","3.64","3.73","2.72"
"CAE","1.68","2.16","2.74","2.85","2.68","2.95","2.83","3.39","4.31","5.38","5.06","4.91","4.08"
"Gipuzkoa","1.65","1.67","2.17","1.98","1.86","1.79","2.09","2.17","3.06","4.38","3.90","3.95","4.05"
