"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","7.88","8.04","8.29","8.81","9.37","9.03","8.89","8.29","7.38","6.35","5.58","5.05","4.07","3.55"
"Bizkaia","5.78","5.68","5.92","6.39","6.52","6.25","5.96","5.72","5.11","4.39","3.81","3.19","2.55","2.11"
"CAE","6.37","6.30","6.46","6.79","6.93","6.65","6.40","6.12","5.44","4.60","4.01","3.43","2.80","2.33"
"Gipuzkoa","6.63","6.49","6.50","6.54","6.48","6.23","6.00","5.79","5.13","4.18","3.66","3.13","2.66","2.17"
