"Entitatea","2015","2011","2006","2001","1996"
"Araba/Álava","55.42","46.17","43.27","40.85","28.43"
"Bizkaia","52.03","42.81","39.19","34.23","24.19"
"CAE","53.53","44.39","41.30","37.24","26.04"
"Gipuzkoa","55.20","46.19","43.82","40.68","28.34"
