"Entitatea","2015","2014","2013","2011","2010","2006","2001","1996","1991"
"Araba/Álava","34.90","34.00","33.20","33.00","33.20","32.05","30.86","27.67","26.94"
"Bizkaia","43.70","42.90","42.00","41.40","40.60","38.51","36.30","33.10","31.27"
"CAE","42.00","41.10","40.30","39.70","39.20","37.30","35.31","32.37","31.34"
"Gipuzkoa","42.60","41.70","40.90","40.30","39.80","37.75","35.62","33.11","33.35"
