"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","17.86","17.90","18.04","18.29","17.75","18.05","18.84","18.19","18.11","18.69","18.73","18.61","18.28"
"Bizkaia","12.61","12.53","12.75","12.57","12.24","12.39","13.24","13.50","13.20","13.50","13.47","13.50","13.51"
"CAE","14.06","14.08","14.18","14.13","13.77","13.89","14.77","14.84","14.65","15.06","14.90","14.72","14.71"
"Gipuzkoa","14.00","14.16","14.15","14.14","13.87","13.88","14.84","14.94","14.82","15.30","14.92","14.49","14.60"
