"Entitatea","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","91.63","85.71","82.44","84.15","87.07","93.16","93.16","89.56","85.31"
"Bizkaia","86.85","85.58","77.26","72.38","75.94","80.78","87.32","82.74","78.19"
"CAE","88.87","86.48","82.43","79.89","82.19","85.53","88.04","86.48","84.79"
"Gipuzkoa","90.27","87.61","88.52","88.00","88.59","89.38","87.33","90.27","93.84"
