"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"Araba/Álava","502.57","438.16","379.83","365.57","385.03","428.17","353.75","452.06","471.80","452.86","442.00"
"Bizkaia","392.85","345.07","309.59","311.75","337.85","361.24","300.31","385.93","416.74","403.75","381.88"
"CAE","396.12","346.78","309.97","307.21","330.69","357.95","301.72","382.85","404.40","397.55","378.62"
"Gipuzkoa","353.27","308.34","279.15","273.49","294.49","321.10","280.77","347.31","354.50","363.12","345.61"
