"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000"
"Araba/Álava","8.21","8.36","8.49","8.47","8.62","9.32","9.28","9.00","9.23","9.60","10.14","10.36","10.76","10.88","10.94","10.91","11.03"
"Bizkaia","5.70","5.79","6.00","6.16","6.30","6.58","6.51","6.40","6.35","6.65","6.89","7.19","7.47","7.70","7.86","7.92","8.34"
"CAE","6.81","6.90","7.05","7.15","7.27","7.61","7.54","7.36","7.35","7.63","7.93","8.27","8.62","8.83","8.99","9.07","9.43"
"Gipuzkoa","7.91","8.00","8.04","8.07","8.19","8.50","8.41","8.18","8.09","8.31","8.62","9.03","9.48","9.68","9.90","10.03","10.43"
