"Entitatea","2011","2006","2001","1996","1991"
"Araba/Álava","77.60","76.51","74.67","72.30","69.28"
"Bizkaia","70.20","70.82","69.05","63.10","62.95"
"CAE","72.00","72.23","70.58","65.50","64.48"
"Gipuzkoa","72.30","72.66","71.36","66.70","65.19"
