"Entitatea","2015","2014","2013","2012","2011"
"Araba/Álava","33.02","33.32","32.94","33.30","32.38"
"Bizkaia","35.85","35.90","35.84","36.06","35.65"
"CAE","34.15","34.34","34.27","34.52","34.09"
"Gipuzkoa","31.98","32.34","32.39","32.62","32.38"
