"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","7.87","7.64","7.61","7.49","7.31","7.13","6.90","6.67","6.42","6.21","5.93","5.72","5.53","5.28"
"Bizkaia","8.74","8.61","8.68","8.57","8.45","8.27","8.06","7.80","7.53","7.22","6.91","6.63","6.32","5.99"
"CAE","8.42","8.26","8.30","8.20","8.07","7.88","7.67","7.42","7.17","6.90","6.61","6.34","6.07","5.79"
"Gipuzkoa","8.15","7.99","8.02","7.93","7.81","7.61","7.39","7.14","6.92","6.68","6.41","6.16","5.90","5.67"
