"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"Araba/Álava","25.85","25.78","25.79","23.59","23.97","23.81","23.38","22.99","22.05","21.19","21.01","20.67"
"Bizkaia","49.21","48.99","47.96","46.66","46.15","45.99","45.70","45.55","44.96","44.79","43.78","48.31"
"CAE","45.65","45.43","45.09","43.42","42.95","42.87","42.42","42.42","42.12","41.60","41.34","0.00"
"Gipuzkoa","60.30","59.85","60.65","60.61","57.95","58.43","57.58","58.75","60.57","59.91","61.95","66.31"
