"Entitatea","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"Araba/Álava","383.26","377.40","377.38","388.15","382.87","352.37","365.64","385.49","368.15","301.98","293.97","260.62","260.53"
"Bizkaia","278.19","278.17","272.31","272.81","281.34","281.26","274.11","283.96","265.51","241.77","226.95","222.09","245.92"
"CAE","317.42","313.89","306.01","305.07","307.18","299.75","301.07","306.70","288.32","259.20","243.98","238.43","247.82"
"Gipuzkoa","350.77","342.98","328.48","320.07","315.28","306.42","316.52","309.24","290.87","269.29","250.42","255.89","245.51"
