"Entitatea","2015","2014","2013","2012","2011"
"Araba/Álava","22.27","19.90","19.05","18.95","22.95"
"Bizkaia","16.51","14.89","13.88","14.59","18.70"
"CAE","18.68","16.53","15.47","15.94","19.94"
"Gipuzkoa","20.37","17.51","16.31","16.71","20.52"
