"Entitatea","2015","2014","2013","2012"
"Araba/Álava","4.39","4.52","4.67","5.26"
"Bizkaia","5.89","5.93","6.04","6.58"
"CAE","5.50","5.58","5.70","6.17"
"Gipuzkoa","5.39","5.52","5.63","5.95"
