"Entitatea","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","0.63","0.64","0.63","0.64","0.64","0.64","0.63","0.63","0.61","0.59","0.58","0.56"
"Bizkaia","0.57","0.57","0.61","0.57","0.57","0.56","0.56","0.56","0.54","0.53","0.51","0.50"
"CAE","0.59","0.60","0.60","0.60","0.60","0.59","0.59","0.58","0.56","0.55","0.54","0.52"
"Gipuzkoa","0.62","0.63","0.56","0.63","0.62","0.62","0.62","0.61","0.59","0.58","0.56","0.55"
