"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"Araba/Álava","1375.33","1377.36","1384.64","1386.86","1368.94","1383.22","1391.39","1407.05","0.00","1439.70","0.00"
"Bizkaia","841.91","841.03","838.24","834.67","824.39","826.30","827.76","828.53","0.00","829.90","0.00"
"CAE","790.61","790.71","790.53","788.27","781.92","784.96","787.22","789.45","0.00","799.39","0.00"
"Gipuzkoa","444.57","445.19","446.24","443.56","446.93","448.50","449.99","450.99","0.00","467.84","0.00"
