"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006"
"Araba/Álava","0.79","0.79","0.76","0.76","0.75","0.75","0.75","0.76","0.00","0.75","0.76"
"Bizkaia","1.57","1.51","1.46","1.43","1.40","1.34","1.34","1.32","0.00","1.30","1.28"
"CAE","1.11","1.08","1.05","1.04","1.02","0.98","0.99","1.00","0.00","0.99","0.98"
"Gipuzkoa","1.06","1.03","1.03","1.00","0.99","0.93","0.95","1.00","0.00","0.98","0.98"
