"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","1.56","-0.26","0.54","-2.80","-1.83","-1.35","-3.71","1.05","3.77","3.97","1.80","4.32","2.48","1.61"
"Bizkaia","1.08","-0.95","-1.24","-2.15","-2.29","-1.60","-5.35","1.63","3.43","4.33","3.83","4.07","1.84","2.63"
"CAE","1.22","-0.65","-0.67","-2.06","-1.91","-1.76","-4.88","1.06","2.51","4.47","3.06","4.12","1.71","2.23"
"Gipuzkoa","1.26","-0.40","-0.39","-1.57","-1.36","-2.21","-4.72","0.22","2.55","4.94","2.53","4.10","1.16","1.93"
