"Entitatea","2015","2014","2013","2011","2010","2006","2001","1996"
"Araba/Álava","23.00","22.98","22.61","22.72","21.87","15.67","13.85","10.21"
"Bizkaia","25.33","25.31","24.83","24.92","24.18","18.33","14.97","11.22"
"CAE","24.46","24.43","23.98","24.07","23.30","17.24","14.44","10.76"
"Gipuzkoa","23.71","23.63","23.19","23.29","22.48","16.12","13.82","10.21"
