"Entitatea","2015","2011","2010","2006","2001","1996"
"Araba/Álava","70.00","68.18","66.01","62.69","58.12","54.80"
"Bizkaia","76.78","74.68","72.47","68.80","65.58","61.73"
"CAE","73.47","71.66","69.52","65.75","62.08","58.91"
"Gipuzkoa","69.94","68.53","66.48","62.27","58.53","56.43"
