"Entitatea","2015","2014","2013","2012"
"Araba/Álava","71.35","70.98","70.06","68.88"
"Bizkaia","77.52","77.26","76.63","75.83"
"CAE","74.63","74.24","73.49","72.62"
"Gipuzkoa","71.69","71.11","70.25","69.39"
