"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"Araba/Álava","16.86","16.87","17.08","17.60","27.15","26.97","27.07","27.17","27.28","26.65","26.98","26.59","26.22"
"Bizkaia","13.15","13.22","13.43","13.32","21.00","21.79","21.67","21.82","21.92","22.24","22.15","21.91","23.78"
"CAE","14.16","14.09","14.50","14.59","21.99","22.38","22.48","22.58","22.43","22.61","22.62","22.42","23.26"
"Gipuzkoa","13.16","12.78","13.78","13.83","17.86","18.37","18.86","18.86","17.78","18.43","18.23","18.06","17.96"
