"Entitatea","2015","2014","2013","2012"
"Araba/Álava","22.24","22.42","23.17","23.76"
"Bizkaia","15.82","16.03","16.55","16.80"
"CAE","18.87","19.15","19.79","20.19"
"Gipuzkoa","22.01","22.46","23.21","23.76"
