"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"Araba/Álava","28.55","29.20","29.06","34.78","35.50","39.24","38.25","43.91","45.01","44.64","48.30"
"Bizkaia","26.84","26.97","26.80","30.65","33.43","36.31","37.99","43.04","43.32","43.29","45.41"
"CAE","26.70","26.88","27.49","31.55","33.83","36.84","37.84","42.43","42.92","42.75","45.16"
"Gipuzkoa","25.64","25.66","27.88","31.47","33.67","36.43","37.38","40.58","41.00","40.85","42.85"
