"Entitatea","2009","2008","2007","2006","2005"
"Araba/Álava","3.81","3.61","3.10","3.09","3.06"
"Bizkaia","1.99","1.60","1.19","0.95","0.99"
"CAE","2.84","2.35","1.93","1.68","1.68"
"Gipuzkoa","3.78","3.02","2.61","2.25","2.20"
