"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","11.31","11.13","11.11","11.05","10.89","10.64","10.45","10.22","10.01","9.80","9.52","9.24","9.08","8.89"
"Bizkaia","13.66","13.52","13.57","13.42","13.26","12.94","12.67","12.34","11.99","11.60","11.24","10.89","10.56","10.18"
"CAE","13.04","12.90","12.94","12.84","12.70","12.42","12.18","11.88","11.57","11.25","10.93","10.61","10.32","9.99"
"Gipuzkoa","12.82","12.70","12.73","12.70","12.59","12.37","12.13","11.84","11.57","11.29","11.03","10.71","10.44","10.14"
