"Entitatea","2012","2010","2008","2005","2000"
"Araba/Álava","6.10","7.80","9.40","8.90","6.70"
"Bizkaia","7.30","8.90","10.60","10.50","7.90"
"CAE","7.00","8.60","10.10","9.80","7.40"
"Gipuzkoa","6.90","8.50","9.80","9.20","6.80"
