"Entitatea","2009","2008","2007","2006","2005"
"Araba/Álava","37.88","35.25","30.40","26.79","26.55"
"Bizkaia","56.53","51.98","48.94","46.28","40.91"
"CAE","51.97","49.67","46.61","44.03","42.21"
"Gipuzkoa","55.06","56.71","55.02","53.45","55.74"
