"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"Araba/Álava","7537.27","7595.83","7578.43","7939.13","8216.86","7978.62","7477.28","9211.09","0.00","0.00","0.00","0.00",NA,"0.00"
"Bizkaia","6593.48","6405.24","6073.57","6000.82","6678.99","6902.48","6343.39","7607.47","0.00","0.00","0.00","0.00",NA,"0.00"
"CAE","7140.58","7015.91","6877.24","7007.96","7538.34","7770.78","7360.39","8654.33","0.00","0.00","0.00","0.00",NA,"0.00"
"Gipuzkoa","7837.19","7735.60","7859.80","8227.01","8630.85","9092.74","8968.22","10124.68","0.00","0.00","0.00","0.00",NA,"0.00"
