"Entitatea","2009","2008","2007","2006","2005"
"Araba/Álava","24.77","24.40","24.67","20.53","20.68"
"Bizkaia","11.46","10.53","11.02","9.95","9.64"
"CAE","15.60","14.40","14.96","12.32","12.09"
"Gipuzkoa","18.24","16.27","17.14","12.61","12.38"
