"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004"
"Araba/Álava","14.49","26.92","33.01","38.13","40.06","38.47","31.12","26.18","21.87","18.38","16.10","14.25"
"Bizkaia","4.51","4.30","4.43","5.35","5.98","6.39","6.80","7.82","8.34","8.09","7.32","6.27"
"CAE","6.76","8.40","9.53","11.01","11.43","11.19","10.80","10.38","9.83","9.15","8.15","7.10"
"Gipuzkoa","6.91","6.72","7.28","8.11","7.59","6.98","8.42","7.67","7.06","6.92","6.10","5.44"
