"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","17.79","17.47","17.55","6.66","6.72","6.38","6.01","6.98","7.37","7.26","7.68","7.70","8.92"
"Bizkaia","6.09","6.20","6.21","6.59","6.80","6.52","6.96","8.11","7.30","7.03","7.60","8.18","8.49"
"CAE","8.36","9.21","8.95","7.64","7.84","7.91","8.03","9.34","8.70","8.54","9.03","9.33","9.85"
"Gipuzkoa","7.75","10.36","9.49","9.78","10.03","10.87","10.68","12.40","11.58","11.59","11.98","11.95","12.49"
