"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"Araba/Álava","3.14","2.91","2.71","2.61","2.49","2.59","2.11","2.11","2.20","2.22","2.24"
"Bizkaia","3.17","2.99","2.89","2.88","2.76","2.86","2.33","2.47","2.61","2.56","2.48"
"CAE","3.06","2.88","2.78","2.72","2.64","2.76","2.27","2.32","2.41","2.38","2.35"
"Gipuzkoa","2.81","2.67","2.64","2.53","2.53","2.70","2.28","2.20","2.19","2.17","2.17"
