"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","1.91","1.79","1.83","1.87","1.61","1.91","1.95","1.82","1.91",NA,"0.00","1.90","1.89","1.83"
"Bizkaia","0.91","0.90","0.90","0.90","0.92","0.94","0.89","0.89","0.89",NA,"0.00","0.93","0.89","0.89"
"CAE","1.26","1.25","1.25","1.26","1.21","1.30","1.30","1.28","1.31",NA,"0.00","1.29","1.22","1.20"
"Gipuzkoa","1.52","1.58","1.55","1.57","1.50","1.62","1.68","1.67","1.74",NA,"0.00","1.61","1.47","1.45"
