"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"Araba/Álava","1.21","2.48","1.62","2.40","2.84","2.88","2.31","2.55","1.99","2.21","0.98","1.79","1.14","1.11"
"Bizkaia","-2.16","-1.23","-0.86","-0.78","-0.28","-0.17","-0.28","0.09","-0.19","-0.24","-0.61","-0.35","-0.77","-0.93"
"CAE","-1.21","-0.36","-0.26","0.11","0.62","0.83","0.60","0.87","0.63","0.72","0.14","0.43","-0.02","-0.23"
"Gipuzkoa","-0.80","-0.23","-0.14","0.54","1.07","1.53","1.27","1.39","1.37","1.64","0.99","1.12","0.73","0.36"
