"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"Araba/Álava","3.25","3.00","2.83","2.73","2.65","2.85","2.39","2.36","2.43","2.44","2.45"
"Bizkaia","3.34","3.17","3.12","3.15","3.07","3.24","2.76","2.83","2.87","2.80","2.74"
"CAE","3.23","3.06","2.99","2.97","2.91","3.11","2.65","2.66","2.69","2.65","2.63"
"Gipuzkoa","3.05","2.92","2.87","2.80","2.80","3.04","2.64","2.55","2.54","2.53","2.55"
