"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","63.85","62.12","60.19","58.36","56.46","55.06","53.50","52.19","51.21","50.63","50.18","49.62","49.94","50.11"
"Bizkaia","64.90","63.75","62.37","60.69","59.44","58.28","57.07","55.90","55.10","54.59","54.17","53.65","53.89","54.03"
"CAE","65.76","64.50","63.00","61.32","59.89","58.60","57.15","55.87","54.93","54.38","53.90","53.33","53.49","53.57"
"Gipuzkoa","68.06","66.82","65.33","63.73","62.24","60.77","58.97","57.51","56.35","55.74","55.13","54.47","54.42","54.34"
