"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002"
"Araba/Álava","4617.53","4716.88","4561.79","4870.84","5103.93","4817.31","4273.60","5922.62","0.00","0.00","0.00","0.00","0.00","0.00"
"Bizkaia","3853.90","3422.85","3145.65","3039.45","3718.24","3929.73","3297.29","4593.96","0.00","0.00","0.00","0.00","0.00","0.00"
"CAE","4341.17","4121.06","3948.10","4042.89","4569.22","4769.16","4294.35","5612.17","0.00","0.00","0.00","0.00","0.00","0.00"
"Gipuzkoa","4996.31","4974.22","4968.10","5298.00","5713.04","6115.80","5931.13","7144.12","0.00","0.00","0.00","0.00","0.00","0.00"
