"Entitatea","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005"
"Araba/Álava","374.51","375.07","372.50","356.20","349.02","340.48","328.37","86.61","82.01","33.73","26.69"
"Bizkaia","45.08","45.03","43.75","43.11","41.32","40.74","34.69","20.86","19.36","11.81","9.23"
"CAE","108.30","108.32","106.42","100.79","98.48","95.18","86.68","34.34","31.69","16.58","13.34"
"Gipuzkoa","89.17","89.30","87.60","79.24","77.97","73.49","63.05","33.13","29.61","16.86","14.27"
