"Entitatea","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003"
"Araba/Álava","10.84","11.49","12.09","12.03","10.98","9.17","8.54","7.82","6.23","5.33","5.28","5.42","4.61","4.56"
"Bizkaia","10.91","11.57","12.16","12.14","11.42","9.86","9.13","8.17","6.78","5.85","5.74","6.20","5.30","5.29"
"CAE","10.19","10.85","11.50","11.50","10.85","9.33","8.82","8.01","6.55","5.67","5.57","5.80","4.90","4.89"
"Gipuzkoa","8.68","9.38","10.15","10.21","9.83","8.54","8.42","7.84","6.31","5.51","5.42","5.32","4.37","4.39"
